,source,author,title,description,url,urlToImage,publishedAt,content
44,"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Maximilian Hess,"Trump talks tough on Russia, but will he follow through?","Trump’s threats over oil and missiles mark a shift on Ukraine - but without allies, they may be empty talk.",https://www.aljazeera.com/opinions/2025/7/18/trump-talks-tough-on-russia-but-will-he-follow-through,https://www.aljazeera.com/wp-content/uploads/2025/07/reuters_6870f108-1752232200.jpg?resize=1920%2C1248,2025-07-18T14:42:37Z,"On July 14, United States President Donald Trump teased a sea change in his approach to Russias war against Ukraine. Trump declared he would send significant additional air defence units to Ukraine, … [+7860 chars]"
45,"{'id': None, 'name': 'Yahoo Entertainment'}",Ben Werschkul,"Last-minute changes to Senate’s 'big, beautiful bill' stun clean energy industry (and Elon Musk)",The Senate is making a final push to advance President Trump's signature legislation this week with a flurry of last-minute changes that have stunned the...,https://finance.yahoo.com/news/last-minute-changes-to-senates-big-beautiful-bill-stun-clean-energy-industry-and-elon-musk-124435220.html,https://s.yimg.com/ny/api/res/1.2/e11hTkhkC_cgDe0KT0ID9A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDE-/https://s.yimg.com/os/creatr-uploaded-images/2025-06/f4d869f0-559f-11f0-b6ec-4cfd6875e753,2025-06-30T12:44:35Z,The Senate is making a final push to advance President Trump's signature legislation with a flurry of last-minute changes that stunned Elon Musk and the already besieged clean energy industry while o… [+7148 chars]
46,"{'id': None, 'name': 'Yahoo Entertainment'}",Editor OilPrice.com,Why Oil Prices Could See a Significant Upside Shift,"Standard Chartered believes the market significantly overestimates OPEC's spare oil production capacity, suggesting a potential $15/barrel upside for oil...",https://finance.yahoo.com/news/why-oil-prices-could-see-230000043.html,https://media.zenfs.com/en/oilprice.com/10110091c113f37661ec7972a96b8ff2,2025-07-17T23:00:00Z,"The 9th OPEC International Seminar was held in Vienna a week ago, wherein participants discussed energy security, investment, climate change, and energy poverty, with a particular emphasis on balanci… [+4895 chars]"
47,"{'id': 'business-insider', 'name': 'Business Insider'}",Anneta Konstantinides,"I upgraded to premium economy for a 13-hour flight on a budget airline. It lacked some perks, but it was still worth the price.",I flew premium economy on a long-haul Norse Atlantic Airways flight. The comfortable seat and extra legroom made the upgrade feel worth it.,https://www.businessinsider.com/norse-atlantic-airways-premium-economy-review-2025-7,https://i.insider.com/68701a48f748d8c055f5644f?width=1200&format=jpeg,2025-07-11T11:42:01Z,"I flew on Norse Atlantic Airways for the first time. Here's what it was like in premium economy.Anneta Konstantinides/Business Insider
<ul><li>I recently flew Norse Atlantic Airways for the first ti… [+10824 chars]"
48,"{'id': None, 'name': 'Thekitchn.com'}",Melissa Kravitz Hoeffner,"I Rarely Ever Use Store-Bought Dressing, but This Vinaigrette Is Way Better Than Homemade","“It’s super versatile.”
READ MORE...",https://www.thekitchn.com/california-olive-ranch-lemon-white-balsamic-vinaigrette-review-23735327,"https://cdn.apartmenttherapy.info/image/upload/f_auto,q_auto:eco,c_fill,g_auto,w_1500,ar_3:2/k%2FEdit%2F2021-05-12_ATK1123-cropped",2025-07-13T14:30:00Z,"We independently select these products—if you buy from one of our links, we may earn a commission. All prices were accurate at the time of publishing.
I love to make dressings, marinades, and sauces… [+3010 chars]"
49,"{'id': None, 'name': 'Barchart.com'}",Rich Asplund,Crude Oil Strength Lifts Sugar Prices,"October NY world sugar #11 (SBV25 ) today is up +0.24 (+1.48%), and August London ICE white sugar #5 (SWQ25 ) is up +6.30 (+1.31%). Sugar prices are moving...",https://www.barchart.com/story/news/33354036/crude-oil-strength-lifts-sugar-prices,https://s.yimg.com/ny/api/res/1.2/TOsrd3IvxD6ysI0_2fgKyw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDE-/https://media.zenfs.com/en/barchart_com_477/7c4b87f0b7b08e35a737c9053c1b7676,2025-07-11T16:30:25Z,"Sieve of confectioners sugar by Pezibear via Pixabay
October NY world sugar #11 (SBV25) today is up +0.24 (+1.48%), and August London ICE white sugar #5 (SWQ25) is up +6.30 (+1.31%).
Sugar prices a… [+5101 chars]"
50,"{'id': None, 'name': 'Barchart.com'}",Rich Asplund,Concerns About Waning Global Energy Demand Pressure Crude Prices,"August WTI crude oil (CLQ25 ) today is down -1.35 (-1.97%), and August RBOB gasoline (RBQ25 ) is down -0.0361 (-1.65%). Crude oil and gasoline prices today...",https://www.barchart.com/story/news/33328949/concerns-about-waning-global-energy-demand-pressure-crude-prices,https://s.yimg.com/ny/api/res/1.2/87R1hBQnJaq_bwiwiDN_4g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/barchart_com_477/9e9a4609211d2a5ea34e169b72b63b2d,2025-07-10T15:40:37Z,"Stacked oil barrels by JONGHO SHIN via iStock
August WTI crude oil (CLQ25) today is down -1.35 (-1.97%), and August RBOB gasoline (RBQ25) is down -0.0361 (-1.65%).
Crude oil and gasoline prices tod… [+3871 chars]"
51,"{'id': None, 'name': 'Barchart.com'}",Rich Asplund,Crude Prices Supported by Elevated Risks in the Middle East,"August WTI crude oil (CLQ25 ) today is up +0.24 (+0.35%), and August RBOB gasoline (RBQ25 ) closed up +0.0340 (+1.58%). Crude oil and gasoline prices are...",https://www.barchart.com/story/news/33274995/crude-prices-supported-by-elevated-risks-in-the-middle-east,https://s.yimg.com/ny/api/res/1.2/WcuIvLCux1NTgnh1FCG__w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/barchart_com_477/ca88e087f12a3f8d2cc35756e5cb650e,2025-07-08T15:42:22Z,"Oil tanker in open sea by StockStudio via Shutterstock
August WTI crude oil (CLQ25) today is up +0.24 (+0.35%), and August RBOB gasoline (RBQ25) closed up +0.0340 (+1.58%).
Crude oil and gasoline p… [+3413 chars]"
52,"{'id': None, 'name': 'Barchart.com'}",Rich Asplund,Red Sea Attacks by Houthi Rebels Lift Crude Prices,"August WTI crude oil (CLQ25 ) on Tuesday closed up +0.40 (+0.59%), and August RBOB gasoline (RBQ25 ) closed up +0.0328 (+1.52%). Crude oil and gasoline...",https://www.barchart.com/story/news/33279482/red-sea-attacks-by-houthi-rebels-lift-crude-prices,https://s.yimg.com/ny/api/res/1.2/mbxuyLeNLvE9JISwcduKrQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD05MDA-/https://media.zenfs.com/en/barchart_com_477/09451fa03336c1633f2a4f36d6866025,2025-07-08T19:23:44Z,"An oil tanker out at sea by Gerhard Traschutz via Pixabay
August WTI crude oil (CLQ25) on Tuesday closed up +0.40 (+0.59%), and August RBOB gasoline (RBQ25) closed up +0.0328 (+1.52%).
Crude oil an… [+3590 chars]"
53,"{'id': None, 'name': 'Barchart.com'}",Rich Asplund,Concerns of a Global Crude Oil Glut Undercut Prices,"August WTI crude oil (CLQ25 ) on Friday closed down -0.20 (-0.30%), and August RBOB gasoline (RBQ25 ) closed down -0.0170 (-0.78%). Crude oil prices gave up ...",https://www.barchart.com/story/news/33501532/concerns-of-a-global-crude-oil-glut-undercut-prices,https://media.zenfs.com/en/barchart_com_477/5eb114cb4f1248050427a6c995a38dd1,2025-07-18T19:18:50Z,"Two oil barrels on ground by Phototreat via iStock
August WTI crude oil (CLQ25) on Friday closed down -0.20 (-0.30%), and August RBOB gasoline (RBQ25) closed down -0.0170 (-0.78%).
Crude oil prices… [+5012 chars]"
54,"{'id': None, 'name': 'Barchart.com'}",Rich Asplund,Heightened Trade Tensions Weigh on Crude Oil Prices,"August WTI crude oil (CLQ25 ) today is down -1.11 (-1.62%), and August RBOB gasoline (RBQ25 ) is down -0.0284 (-1.30%). Crude oil and gasoline prices today...",https://www.barchart.com/story/news/33388064/heightened-trade-tensions-weigh-on-crude-oil-prices,https://s.yimg.com/ny/api/res/1.2/qEk.H2y6Wd7iX2Yk8vNy4w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MjE-/https://media.zenfs.com/en/barchart_com_477/4c89ddf8d0de2c99d2c9278832a0761a,2025-07-14T15:37:50Z,"Crude Oil pumpjack at sunset by Zbynek Burival via Unsplash
August WTI crude oil (CLQ25) today is down -1.11 (-1.62%), and August RBOB gasoline (RBQ25) is down -0.0284 (-1.30%).
Crude oil and gasol… [+4587 chars]"
55,"{'id': None, 'name': 'Thekitchn.com'}",Ann Taylor Pittman,The Best Way to Grill Boneless Chicken Thighs Is Super Fast,"No need to plan ahead.
READ MORE...",https://www.thekitchn.com/grilled-chicken-thighs-skills-showdown-23733850,"https://cdn.apartmenttherapy.info/image/upload/f_auto,q_auto:eco,c_fill,g_auto,w_1500,ar_3:2/k%2FDesign%2F2025%2F07-2025%2Fchicken-thigh-showdown%2Fk-chicken-thigh-showdown-Lead",2025-07-10T14:00:00Z,"We independently select these products—if you buy from one of our links, we may earn a commission. All prices were accurate at the time of publishing.
When it comes to grilling meat, its hard to bea… [+7825 chars]"
56,"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Al Jazeera,"EU hits Russian oil, shadow fleet with new sanctions over Ukraine war",European Union says move amounts to one of the strongest sanctions packages against Russia to date linked to the war.,https://www.aljazeera.com/news/2025/7/18/eu-hits-russian-oil-shadow-fleet-with-new-sanctions-over-ukraine-war,https://www.aljazeera.com/wp-content/uploads/2024/07/AFP__20040713__PAR2004071349724__v1__HighRes__ToGoWithAfpStoryNovorossiiskPorteDExpo-1719995604.jpg?resize=1920%2C1216,2025-07-18T08:07:19Z,"The European Union has approved a new raft of stiff sanctions against Russia over its war in Ukraine, including a lower oil price cap, a ban on transactions with Nord Stream gas pipelines, and the ta… [+3044 chars]"
57,"{'id': None, 'name': 'Apartment Therapy'}",Patty Catalano,The $6 Aldi Grocery I’m Stocking in My Freezer All Summer Long (Perfect for Parties),"They come in a container of … 50!
READ MORE...",https://www.apartmenttherapy.com/aldi-specially-selected-mini-cream-puffs-review-37495625,"https://cdn.apartmenttherapy.info/image/upload/f_auto,q_auto:eco,c_fill,g_auto,w_1500,ar_3:2/stock%2Fshutterstock_1672603831-tk",2025-07-17T19:30:00Z,"We independently select these products—if you buy from one of our links, we may earn a commission. All prices were accurate at the time of publishing.
Shopping at Aldi has been a part of my grocery … [+2541 chars]"
58,"{'id': None, 'name': 'Thekitchn.com'}",Brittany Gibson,I Never Toss Wilted Herbs That Are About to Go Bad — I Always Do This Brilliant Trick Instead,"It’s perfect for summer!
READ MORE...",https://www.thekitchn.com/lemon-herbs-ice-cubes-23736103,"https://cdn.apartmenttherapy.info/image/upload/f_auto,q_auto:eco,c_fill,g_auto,w_1500,ar_3:2/stock%2Fgettyimages-813603896",2025-07-19T12:45:00Z,"We independently select these products—if you buy from one of our links, we may earn a commission. All prices were accurate at the time of publishing.
Im an iced drink girl year-round. Iced coffee, … [+2204 chars]"
59,"{'id': None, 'name': 'Barchart.com'}",Rich Asplund,Crude Prices Climb on Energy Demand Optimism and Middle East Tensions,"August WTI crude oil (CLQ25 ) Monday closed up +0.93 (+1.39%), and August RBOB gasoline (RBQ25 ) closed up +0.0336 (+1.59%). Oil prices recovered from early ...",https://www.barchart.com/story/news/33253599/crude-prices-climb-on-energy-demand-optimism-and-middle-east-tensions,https://s.yimg.com/ny/api/res/1.2/4q6RnA5BQJiEwZBnW4rgDA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/barchart_com_477/7b665580bf6413d64189c949c0fee308,2025-07-07T19:20:38Z,"Filling a vehicle with Biofuel by Scharfsinn via Shutterstock
August WTI crude oil (CLQ25) Monday closed up +0.93 (+1.39%), and August RBOB gasoline (RBQ25) closed up +0.0336 (+1.59%).
Oil prices r… [+3333 chars]"
60,"{'id': None, 'name': 'Barchart.com'}",Rich Asplund,Crude Oil Prices Fall on Concern Tariffs Will Slow Growth and Energy Demand,"August WTI crude oil (CLQ25 ) today is down -1.01 (-1.50%), and August RBOB gasoline (RBQ25 ) is down -0.0306 (-1.44%). Crude oil and gasoline prices today...",https://www.barchart.com/story/news/33561253/crude-oil-prices-fall-on-concern-tariffs-will-slow-growth-and-energy-demand,https://s.yimg.com/ny/api/res/1.2/YLrDKIAeNPCO8UpFEEJSSA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03MjA-/https://media.zenfs.com/en/barchart_com_477/88b0dea2d0fa4f7872d42b175d523511,2025-07-22T15:43:09Z,"Floating oil rig in ocean by Keri Jackson via Pixabay
August WTI crude oil (CLQ25) today is down -1.01 (-1.50%), and August RBOB gasoline (RBQ25) is down -0.0306 (-1.44%).
Crude oil and gasoline pr… [+4701 chars]"
61,"{'id': None, 'name': 'Barchart.com'}",Rich Asplund,Energy Demand Optimism and Houthi Rebel Attacks on Red Sea Shipping Boost Crude Prices,"August WTI crude oil (CLQ25 ) today is up +0.59 (+0.88%), and August RBOB gasoline (RBQ25 ) is up +0.0243 (+1.15%). Oil prices today recovered from early...",https://www.barchart.com/story/news/33250312/energy-demand-optimism-and-houthi-rebel-attacks-on-red-sea-shipping-boost-crude-prices,https://s.yimg.com/ny/api/res/1.2/BxjfRaVKlEKEG_IGbC1IjA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/barchart_com_477/be26e7c56ab8991d1d89507f82c52ba0,2025-07-07T15:53:38Z,"A sunset over a fuel tanker by Sebastian via Pixabay
August WTI crude oil (CLQ25) today is up +0.59 (+0.88%), and August RBOB gasoline (RBQ25) is up +0.0243 (+1.15%).
Oil prices today recovered fro… [+3258 chars]"
62,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,"Oil edges down on expectations of more OPEC+ supply, tariff fears","Oil prices experienced a slight dip on Tuesday, influenced by expectations of increased OPEC+ output in August and anxieties surrounding a potential economic slowdown due to higher U.S. tariffs. The anticipated OPEC+ production hike of 411,000 barrels per day…",https://economictimes.indiatimes.com/markets/commodities/news/oil-edges-down-on-expectations-of-more-opec-supply-tariff-fears/articleshow/122171095.cms,"https://img.etimg.com/thumb/msid-122171110,width-1200,height-630,imgsize-104136,overlay-etmarkets/articleshow.jpg",2025-07-01T01:57:25Z,"Oil prices edged down on Tuesday, weighed by expectations of an OPEC+ output hike in August and concerns of an economic slowdown driven by prospects of higher U.S. tariffs.Brent crude futures for Sep… [+1714 chars]"
63,"{'id': None, 'name': 'Investopedia'}",Bill McColl,ExxonMobil Warns Falling Fuel Prices Will Pull Down Earnings,Exxon Mobil Corp. said lower oil and gas prices will impact current-quarter profit by up to $1.9 billion.,https://www.investopedia.com/exxon-mobil-warns-falling-fuel-prices-will-pull-down-earnings-11768029,https://s.yimg.com/ny/api/res/1.2/hwWGC1Vk1SkKzHG6WKDcqg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/investopedia_245/0ebf087bdf542ef17508eed8bc069f03,2025-07-08T14:02:34Z,"Kevin Carter / Getty Images
 The energy giant expects the earnings impact of the price drop in liquids would be between $800 million and $1.2 billion, and it sees falling natural gas prices affectin… [+1708 chars]"
64,"{'id': None, 'name': 'Yahoo Entertainment'}",,Crude Oil Prices Fall Due to a Focus on Oil Surplus,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d5d3b13b-84d0-48c2-8874-6c7791349290,,2025-07-16T16:10:28Z,"If you click 'Accept all', we and our partners, including 236 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]"
65,"{'id': None, 'name': 'Yahoo Entertainment'}",,Iran Concerns and Dollar Weakness Support Crude Oil Prices,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3d8e2989-4eeb-4055-85de-f79e94b1de5b,,2025-07-01T19:18:35Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]"
66,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Kshitij Anand,ETMarkets Smart Talk: SBI Securities cautions against value traps; growth visibility key to attracting premium valuations,"SBI Securities' Sunny Agrawal anticipates a constructive second half for equity markets in 2025, driven by rate cuts, tax benefits, and revived capex. He suggests focusing on rate-sensitive sectors and themes like steel tubes and railway wagons. While geopoli…",https://economictimes.indiatimes.com/markets/expert-view/etmarkets-smart-talk-sbi-securities-cautions-against-value-traps-growth-visibility-key-to-attracting-premium-valuations/articleshow/122113139.cms,"https://img.etimg.com/thumb/msid-122113611,width-1200,height-630,imgsize-26270,overlay-etmarkets/articleshow.jpg",2025-06-30T03:30:00Z,"In this edition of ETMarkets Smart Talk, we speak with Sunny Agrawal, Head of Fundamental Research at SBI Securities Ltd, who shares his insights on market dynamics heading into the second half of 20… [+7262 chars]"
67,"{'id': None, 'name': 'Biztoc.com'}",finance.yahoo.com,Oil prices expected to drop below $60 on increasing OPEC+ supply,"In This Article:
Wall Street analysts predict oil futures will fall below $60 per barrel by the end of the year as the Organization of the Petroleum Exporting Countries (OPEC) and its allies boost output.
OPEC+ has been unwinding output cuts this year as it s…",https://biztoc.com/x/38c055a591c9d4d6,https://biztoc.com/cdn/38c055a591c9d4d6_s.webp,2025-07-07T17:39:14Z,In This Article:Wall Street analysts predict oil futures will fall below $60 per barrel by the end of the year as the Organization of the Petroleum Exporting Countries (OPEC) and its allies boost out… [+150 chars]
68,"{'id': None, 'name': 'Biztoc.com'}",barrons.com,"Oil Prices Are Inching Lower. How Exxon, Chevron and Other Stocks Are Impacted",,https://biztoc.com/x/e492ba4983419ce7,https://biztoc.com/cdn/950/og.png,2025-07-08T23:16:12Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump impose 50% copper tariffs? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How will pharma tariffs impact U… [+687 chars]"
69,"{'id': None, 'name': 'Yahoo Entertainment'}",Jamie Stone,Here’s What It Costs To Charge a Tesla Monthly vs. Using Gas for a Nissan Altima,GOBankingRates decided to compare these two monthly operating costs to share valuable insight for budget-conscious consumers.,https://finance.yahoo.com/news/costs-charge-tesla-monthly-vs-151200130.html,https://s.yimg.com/ny/api/res/1.2/bBE9ja.645nUP4MZOqEaoQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/gobankingrates_644/366660eaf44a9781aced218eaeb7062c,2025-07-14T15:12:00Z,"As electric vehicles (EV) continue to gain popularity, one of the most common questions potential EV buyers ask is about the real-world cost savings compared to traditional gas-powered vehicles.
Wit… [+6934 chars]"
70,"{'id': None, 'name': 'CNET'}",Katherine Watt,"Mortgage Rate Predictions: How Tariffs, War and the Fed Are Impacting Rates","Inflation, high interest rates and market uncertainty are impacting housing affordability this summer.",https://www.cnet.com/personal-finance/mortgages/mortgage-rate-predictions-how-tariffs-war-and-the-fed-are-impacting-rates/,https://www.cnet.com/a/img/resize/27c21aabdaf21bc6fd1e86e53460fd518c98f558/hub/2024/07/29/5090ba2f-9272-47a1-8cdf-a914b00cd178/weekly-mortgage-predictions-4.jpg?auto=webp&fit=crop&height=675&width=1200,2025-06-30T17:33:46Z,"Buyers should keep an eye on the possibility of rate cuts in the next few months. 
Tharon Green/CNET
Mortgage market predictions have been clouded by economic uncertainty caused by the Trump admini… [+6074 chars]"
71,"{'id': None, 'name': 'Vox'}",Umair Irfan,Trump’s plan to replace clean energy with fossil fuels has some major problems,"The first solar cell ever made was built in the United States. Tesla, based in the US, was once the largest EV manufacturer in the world. The lithium ion battery was codeveloped in the US. But today, China — not the US — is the largest manufacturer of solar c…",https://www.vox.com/climate/418563/trump-big-beautiful-bill-clean-energy-fossil-climate,,2025-07-02T16:59:33Z,"The Senate budget bill pares back incentives for renewable energy and aims to boost fossil fuels like coal.


The first solar cell ever made was built in the United States. Tesla, based in the US, w… [+5975 chars]"
72,"{'id': None, 'name': 'Barchart.com'}",Rich Asplund,Crude Oil Posts Modest Gains on Energy Demand Optimism,"August WTI crude oil (CLQ25 ) on Wednesday closed up +0.05 (+0.07%), and August RBOB gasoline (RBQ25 ) closed up +0.0029 (+0.13%). Crude oil and gasoline...",https://www.barchart.com/story/news/33307253/crude-oil-posts-modest-gains-on-energy-demand-optimism,https://s.yimg.com/ny/api/res/1.2/WcuIvLCux1NTgnh1FCG__w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/barchart_com_477/ca88e087f12a3f8d2cc35756e5cb650e,2025-07-09T19:31:13Z,"Oil tanker in open sea by StockStudio via Shutterstock
August WTI crude oil (CLQ25) on Wednesday closed up +0.05 (+0.07%), and August RBOB gasoline (RBQ25) closed up +0.0029 (+0.13%).
Crude oil and… [+3922 chars]"
73,"{'id': None, 'name': 'NPR'}",Anas Baba,"Knives, bullets and thieves: the quest for food in Gaza","NPR's Gaza producer faced Israeli military fire, private U.S. contractors pointing laser beams at his forehead and masked thieves as he tried to get food from a U.S.-supported group.",https://www.npr.org/2025/07/06/g-s1-75874/gaza-food-hunger-ghf,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/6720x3780+0+350/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F85%2F61%2F58487bb041c2a4e8747f6869b4dc%2Fgettyimages-2221145339.jpg,2025-07-06T13:40:57Z,Editor's note: Anas Baba is NPR's producer in the Gaza Strip. His report is a rare account by a journalist inside a new food distribution site that the United States and Israel helped establish in th… [+10101 chars]
74,"{'id': None, 'name': 'Thedailyupside.com'}",Brian Boyle,OPEC+ Wants to Pump Its Way Back to the Top,"After roughly two straight years of production cuts to prop up falling prices, the oil cartel's newest problem is a shrinking market share.",https://www.thedailyupside.com/industries/energy/opec-wants-to-pump-its-way-back-to-the-top/,https://s.yimg.com/ny/api/res/1.2/sFgIsYstgYt5N4DNGWbzng--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/the_daily_upside_435/c540669b9ccf957c3d335b1d3dd7b174,2025-07-03T04:01:00Z,"Photo by Getty Images via Unsplash
The oil-producing cartel OPEC+ seems to have a new mantra right in time for the summer: Just go with the flow. And right now, the oil pumps are flowing.
On Sunday… [+3219 chars]"
75,"{'id': None, 'name': 'Yahoo Entertainment'}",John Csiszar,"If You Had Invested in Oil Stocks During the Gulf War in the 1990s, Here’s How Much You’d Have Today","Oil prices initially spiked when the Gulf War began on August 2, 1990, as investors feared a global supply shutdown. However, as those fears subsided...",https://finance.yahoo.com/news/had-invested-oil-stocks-during-140409293.html,https://s.yimg.com/ny/api/res/1.2/YCaqd_gTkk22__WBDJv8XA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/gobankingrates_644/fa610cb006bd69b75586ace335492cc2,2025-07-11T14:04:09Z,"Oil prices initially spiked when the Gulf War began on August 2, 1990, as investors feared a global supply shutdown. However, as those fears subsided throughout the conflict, oil prices began steadil… [+3061 chars]"
76,"{'id': None, 'name': 'Barchart.com'}",Rich Asplund,Crude Oil Price Fall on Concern About Energy Demand,"August WTI crude oil (CLQ25 ) on Tuesday closed down -0.99 (-1.47%), and August RBOB gasoline (RBQ25 ) closed down -0.0300 (-1.41%). Crude oil and gasoline...",https://www.barchart.com/story/news/33565865/crude-oil-price-fall-on-concern-about-energy-demand,https://s.yimg.com/ny/api/res/1.2/2Nc6sv9BGm5iOVVR1TyL8w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/barchart_com_477/2831b0f46d658ccd7a821e1ab27a2042,2025-07-22T19:30:05Z,"Offshore oil platform in ocean by Wirestock via iStock
August WTI crude oil (CLQ25) on Tuesday closed down -0.99 (-1.47%), and August RBOB gasoline (RBQ25) closed down -0.0300 (-1.41%).
Crude oil a… [+4907 chars]"
77,"{'id': None, 'name': 'Forbes'}","Ian Dexter Palmer, Ph.D., Contributor, 
 Ian Dexter Palmer, Ph.D., Contributor
 https://www.forbes.com/sites/ianpalmer/",Black Oil And Green Energy In Mega Bill Will Boost Oil But Cost U.S.,This policy will lead to more expensive electricity in the U.S. and a serious delay in the race against China for AI dominance.,https://www.forbes.com/sites/ianpalmer/2025/07/14/black-oil-and-green-energy-in-mega-bill-will-boost-oil-but-cost-us/,https://imageio.forbes.com/specials-images/imageserve/6875015b3833d6460acda11e/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2025-07-14T13:15:16Z,"Workers extracting oil in the Permian Basin in Midland, Texas. 
Getty Images
Energy policy in the U.S. has changed dramatically since OBBBA (One Big Beautiful Bill Act) has been signed into law. Th… [+6567 chars]"
78,"{'id': None, 'name': 'Vox'}",Umair Irfan,Why your energy bill is suddenly so much more expensive,"Americans are paying more for electricity, and those prices are set to rise even further. In almost all parts of the country, the amount people pay for electricity on their power bills — the retail price — has risen faster than the rate of inflation since 202…",https://www.vox.com/climate/420887/electricity-energy-bill-expensive-prices-rising,https://platform.vox.com/wp-content/uploads/sites/2/2025/07/GettyImages-1316185179.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-07-23T22:42:20Z,"Energy infrastructure is increasingly driving higher electricity prices.


Americans are paying more for electricity, and those prices are set to rise even further.

In almost all parts of the count… [+7876 chars]"
79,"{'id': None, 'name': 'CNET'}",Katherine Watt,Mortgage Predictions for July: Will Rates Continue Falling?,"Fed rate cuts are still on the table this year, but stronger-than-expected job data will keep policymakers on hold this month.",https://www.cnet.com/personal-finance/mortgages/mortgage-predictions-for-july-will-rates-continue-falling/,https://www.cnet.com/a/img/resize/27c21aabdaf21bc6fd1e86e53460fd518c98f558/hub/2024/07/29/5090ba2f-9272-47a1-8cdf-a914b00cd178/weekly-mortgage-predictions-4.jpg?auto=webp&fit=crop&height=675&width=1200,2025-07-03T12:51:00Z,"Buyers should keep an eye on the possibility of rate cuts in the next few months. 
Tharon Green/CNET
Mortgage rates are holding near a two-month low, with average 30-year fixed rates having fallen … [+6215 chars]"
80,"{'id': None, 'name': 'Yahoo Entertainment'}",Jason Ma,Wall Street was expecting a TACO Tuesday. But Dow futures fall 250 points after Trump says he will set tariffs as high as 70%,"Trump said that about “10 or 12” tariff letters would go out Friday, with additional letters coming “over the next few days.”",https://finance.yahoo.com/news/wall-street-expecting-taco-tuesday-174415034.html,https://s.yimg.com/ny/api/res/1.2/zLKCnPNpRMPcTtW6NM.dPg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/fortune_175/7302e4cb37c4c87fc6f625149e278a1d,2025-07-04T17:44:15Z,"<ul><li>While U.S. markets were closed for the July 4 holiday, stock futures sank on Friday after President Donald Trump said he will start sending out letters informing countries of what tariffs the… [+3107 chars]"
81,"{'id': None, 'name': 'Thekitchn.com'}",Micki Wagner,I Buy Bag After Bag of This Beloved $6 Snack All the Way from Greece,"It’s sweet, crunchy, and nutty.
READ MORE...",https://www.thekitchn.com/primis-imports-pasteli-with-greek-pistachio-review-23735317,"https://cdn.apartmenttherapy.info/image/upload/f_auto,q_auto:eco,c_fill,g_auto,w_1500,ar_3:2/stock%2Fshutterstock_289814858",2025-07-14T14:30:00Z,"We independently select these products—if you buy from one of our links, we may earn a commission. All prices were accurate at the time of publishing.
One of my favorite things to do when I travel i… [+2575 chars]"
